name,date,value,category
DI Allan ,1982-12-31,0,KENYA
DI Gower ,1982-12-31,250,ENG
DI Joyce ,1982-12-31,0,IRE
DJ Bravo ,1982-12-31,0,WI
DJ Callaghan ,1982-12-31,0,SA
DJ Capel ,1982-12-31,0,ENG
DJ Colley ,1982-12-31,0,AUS
DJ Cullen ,1982-12-31,0,AUS
DJ Cullinan ,1982-12-31,0,SA
DJ Gandhi ,1982-12-31,0,IND
DJ Hooda ,1982-12-31,0,IND
DJ Hussey ,1982-12-31,0,AUS
DJ Malan ,1982-12-31,0,ENG
DJ Mitchell ,1982-12-31,0,NZ
DJ Murray ,1982-12-31,0,NZ
DJ Nash ,1982-12-31,0,NZ
